model,config_index,short_config,threshold,val_macro_f1,val_micro_f1,params_json
linear_ridge,0,alpha=0.5,0.2,0.13808490310731567,0.1422337621308902,"{""alpha"": 0.5, ""class_weight"": ""balanced""}"
linear_ridge,0,alpha=0.5,0.35,0.17159756020615485,0.1762380929813753,"{""alpha"": 0.5, ""class_weight"": ""balanced""}"
linear_ridge,0,alpha=0.5,0.5,0.31143736575248127,0.30814952471552987,"{""alpha"": 0.5, ""class_weight"": ""balanced""}"
linear_ridge,1,alpha=2.0,0.2,0.13806278856685078,0.14221059645139797,"{""alpha"": 2.0, ""class_weight"": ""balanced""}"
linear_ridge,1,alpha=2.0,0.35,0.1714974160303748,0.1761409026179267,"{""alpha"": 2.0, ""class_weight"": ""balanced""}"
linear_ridge,1,alpha=2.0,0.5,0.31156447793097886,0.3080212011529417,"{""alpha"": 2.0, ""class_weight"": ""balanced""}"
random_forest,0,"trees=16, depth=12, leaf=2",0.2,0.2761335429109188,0.30085410795577716,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""max_samples"": 0.25, ""min_samples_leaf"": 2, ""n_estimators"": 16}"
random_forest,0,"trees=16, depth=12, leaf=2",0.35,0.23237195781857112,0.36431069602982435,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""max_samples"": 0.25, ""min_samples_leaf"": 2, ""n_estimators"": 16}"
random_forest,0,"trees=16, depth=12, leaf=2",0.5,0.12389276170624262,0.2080297353904245,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""max_samples"": 0.25, ""min_samples_leaf"": 2, ""n_estimators"": 16}"
random_forest,1,"trees=24, depth=16, leaf=4",0.2,0.2982772848743088,0.3230330025944559,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 24}"
random_forest,1,"trees=24, depth=16, leaf=4",0.35,0.2559138699967314,0.38043224753168003,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 24}"
random_forest,1,"trees=24, depth=16, leaf=4",0.5,0.14089208083202587,0.22056063804832277,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 24}"
