annotation,precision,recall,f1,map
bell_ringing,0.4253731343283582,0.25333333333333335,0.31754874651810583,
coffee_machine,0.6696428571428571,0.3146853146853147,0.42816365366317793,
cutlery_dishes,0.5801749271137027,0.4185068349106204,0.4862553451435553,
door_open_close,0.40425531914893614,0.18018967334035826,0.24927113702623907,
footsteps,0.6226065472513898,0.4388332607749238,0.5148110316649642,
keyboard_typing,0.7400185701021356,0.6396468699839486,0.6861816616444253,
keychain,0.6760828625235404,0.4184149184149184,0.5169186465082793,
light_switch,0.4864864864864865,0.2084942084942085,0.2918918918918919,
microwave,0.7123098201936376,0.5819209039548022,0.6405472636815921,
phone_ringing,0.7578659370725034,0.5490584737363726,0.6367816091954023,
running_water,0.7704081632653061,0.6697880729423361,0.7165831795412602,
toilet_flushing,0.515625,0.38076923076923075,0.43805309734513276,
vacuum_cleaner,0.625,0.586527293844367,0.6051527860994608,
wardrobe_drawer_open_close,0.26548672566371684,0.06072874493927125,0.09884678747940692,
window_open_close,0.12173913043478261,0.04878048780487805,0.06965174129353234,
